"PY" "paper"
"648" 2011 "hkb"
"649" 2011 "hkb"
"650" 2007 "hkb"
"651" 2003 "hkb"
"652" 2008 "hkb"
"653" 1999 "hkb"
"654" 2002 "hkb"
"655" 2001 "hkb"
"656" 2015 "hkb"
"657" 1999 "hkb"
"658" 2012 "hkb"
"659" 2010 "hkb"
"660" 1999 "hkb"
"661" 2013 "hkb"
"662" 2009 "hkb"
"663" 2013 "hkb"
"664" 2009 "hkb"
"665" 1999 "hkb"
"666" 1995 "hkb"
"667" 2002 "hkb"
"668" 2002 "hkb"
"669" 2012 "hkb"
"670" 2014 "hkb"
"671" 2016 "hkb"
"672" 2014 "hkb"
"673" 2012 "hkb"
"674" 2002 "hkb"
"675" 2013 "hkb"
"676" 2003 "hkb"
"677" 2013 "hkb"
"678" 1998 "hkb"
"679" 1997 "hkb"
"680" 2012 "hkb"
"681" 2007 "hkb"
"682" 1993 "hkb"
"683" 1994 "hkb"
"684" 2002 "hkb"
"685" 2008 "hkb"
"686" 2011 "hkb"
"687" 1996 "hkb"
"688" 1990 "hkb"
"689" 1999 "hkb"
"690" 2000 "hkb"
"691" 2007 "hkb"
"692" 1999 "hkb"
"693" 1994 "hkb"
"694" 2000 "hkb"
"695" 2005 "hkb"
"696" 2004 "hkb"
"697" 1995 "hkb"
"698" 1995 "hkb"
"699" 2016 "hkb"
"700" 2003 "hkb"
"701" 1988 "hkb"
"702" 2002 "hkb"
"703" 2014 "hkb"
"704" 2000 "hkb"
"705" 2013 "hkb"
"706" 2015 "hkb"
"707" 1987 "hkb"
"708" 2006 "hkb"
"709" 2005 "hkb"
"710" 2015 "hkb"
"711" 2012 "hkb"
"712" 2006 "hkb"
"713" 2006 "hkb"
"714" 2012 "hkb"
"715" 1997 "hkb"
"716" 2015 "hkb"
"717" 2011 "hkb"
"718" 1999 "hkb"
"719" 2016 "hkb"
"720" 2014 "hkb"
"721" 1999 "hkb"
"722" 2002 "hkb"
"723" 2008 "hkb"
"724" 2008 "hkb"
"725" 1999 "hkb"
"726" 2008 "hkb"
"727" 2008 "hkb"
"728" 2012 "hkb"
"729" 1996 "hkb"
"730" 1989 "hkb"
"731" 2005 "hkb"
"732" 2002 "hkb"
"733" 2014 "hkb"
"734" 1995 "hkb"
"735" 2015 "hkb"
"736" 2015 "hkb"
"737" 2015 "hkb"
"738" 2010 "hkb"
"739" 1997 "hkb"
"740" 2011 "hkb"
"741" 2016 "hkb"
"742" 2011 "hkb"
"743" 2015 "hkb"
"744" 1996 "hkb"
"745" 2015 "hkb"
"746" 2004 "hkb"
"747" 2007 "hkb"
"748" 1996 "hkb"
"749" 2005 "hkb"
"750" 2005 "hkb"
"751" 2007 "hkb"
"752" 2012 "hkb"
"753" 1998 "hkb"
"754" 2009 "hkb"
"755" 2002 "hkb"
"756" 2009 "hkb"
"757" 2014 "hkb"
"758" 2000 "hkb"
"759" 2013 "hkb"
"760" 2012 "hkb"
"761" 1992 "hkb"
"762" 2000 "hkb"
"763" 1999 "hkb"
"764" 1990 "hkb"
"765" 2006 "hkb"
"766" 2005 "hkb"
"767" 2010 "hkb"
"768" 2012 "hkb"
"769" 2004 "hkb"
"770" 2010 "hkb"
"771" 2015 "hkb"
"772" 2008 "hkb"
"773" 2013 "hkb"
"774" 2007 "hkb"
"775" 2013 "hkb"
"776" 2013 "hkb"
"777" 2007 "hkb"
"778" 1994 "hkb"
"779" 2011 "hkb"
"780" 2013 "hkb"
"781" 2004 "hkb"
"782" 2012 "hkb"
